# Time-averaged data for fix msd_out
# TimeStep c_msd_all[4]
225000 335.893
225100 335.828
225200 336.091
225300 336.312
225400 336.786
225500 336.938
225600 337.177
225700 337.166
225800 337.552
225900 337.504
226000 337.843
226100 337.869
226200 337.63
226300 337.854
226400 338.284
226500 338.485
226600 338.86
226700 339.261
226800 339.662
226900 339.654
227000 339.685
227100 340.046
227200 340.153
227300 340.318
227400 340.425
227500 340.489
227600 340.878
227700 341.187
227800 340.973
227900 341.003
228000 341.362
228100 341.893
228200 341.73
228300 341.914
228400 342.172
228500 342.366
228600 342.58
228700 342.425
228800 342.953
228900 343.313
229000 343.76
229100 343.727
229200 343.569
229300 343.686
229400 343.97
229500 344.448
229600 344.918
229700 344.857
229800 345.267
229900 345.756
230000 345.624
230100 345.908
230200 346.345
230300 347.034
230400 347.208
230500 347.312
230600 347.575
230700 347.657
230800 348.209
230900 348.949
231000 349.307
231100 349.776
231200 349.996
231300 350.168
231400 350.073
231500 349.954
231600 350.461
231700 350.506
231800 350.6
231900 350.604
232000 350.772
232100 351.14
232200 351.185
232300 351.446
232400 351.871
232500 352.308
232600 352.401
232700 352.769
232800 353.268
232900 353.269
233000 353.555
233100 354.081
233200 354.058
233300 354.042
233400 354.155
233500 354.552
233600 354.663
233700 355.366
233800 355.817
233900 356.228
234000 356.41
234100 356.317
234200 356.751
234300 356.991
234400 357.033
234500 357.442
234600 357.501
234700 357.743
234800 357.798
234900 358.015
235000 358.305
235100 358.315
235200 358.268
235300 358.593
235400 358.956
235500 359.664
235600 359.913
235700 360.136
235800 360.165
235900 360.035
236000 360.248
236100 360.7
236200 360.637
236300 360.271
236400 360.397
236500 360.858
236600 361.185
236700 360.995
236800 360.994
236900 361.273
237000 361.137
237100 361.344
237200 361.417
237300 361.624
237400 361.817
237500 361.856
237600 362.182
237700 362.398
237800 363.173
237900 363.406
238000 363.654
238100 363.83
238200 364.042
238300 364.555
238400 365.07
238500 364.915
238600 365.108
238700 365.226
238800 365.133
238900 365.409
239000 365.539
239100 365.61
239200 365.737
239300 366.377
239400 367.019
239500 367.378
239600 367.206
239700 367.349
239800 367.267
239900 367.131
240000 366.92
240100 367.047
240200 367.313
240300 367.661
240400 367.734
240500 368.005
240600 368.159
240700 368.025
240800 368.46
240900 368.533
241000 368.645
241100 368.37
241200 368.495
241300 369.213
